customerId,firstName,lastName,address,phoneNumber,state,zipCode,reservations
1,Amandy,Sowley,79 Forest Center,813-310-8210,Florida,0,0
2,Harrison,Weiss,32 Buell Junction,713-632-9576,Texas,0,0
3,Miller,Stear,0 1st Center,559-534-5884,California,0,0
4,Richart,Fraine,63 Porter Road,757-537-6949,Virginia,0,0
5,Hedy,Klebes,0405 Maryland Hill,661-654-4343,California,0,0
6,Tracie,Sammonds,35 5th Hill,915-518-4207,Texas,0,0
7,Clementine,Stiggles,60923 Fremont Point,843-218-6843,South Carolina,0,0
8,William,Montford,21231 Alpine Park,404-742-2174,Georgia,0,0
9,Celestyn,Petrasek,6 Dawn Trail,253-340-1894,Washington,0,0
10,Christian,Nannizzi,24245 8th Street,713-980-2360,Texas,0,0
11,Nevin,Chantler,48 Fairfield Junction,973-405-3663,New Jersey,0,0
12,Pandora,Fardoe,6881 Aberg Point,727-866-0346,Florida,0,0
13,Patrizia,Apps,5 Dapin Point,432-603-3018,Texas,0,0
14,Briant,Percifull,63 Talmadge Street,513-770-6392,Ohio,0,0
15,Hadleigh,D'Ambrogio,6760 American Ash Court,727-599-5342,Florida,0,0
16,Cherianne,Scroyton,02253 Mendota Terrace,971-875-8882,Oregon,0,0
17,Codie,Peckett,668 Cardinal Trail,704-770-2788,North Carolina,0,0
18,Hope,Halt,82757 Emmet Plaza,920-656-3736,Wisconsin,0,0
19,Erroll,Buttel,3686 Dexter Parkway,423-619-8361,Tennessee,0,0
20,Sabine,Hawarden,229 Rigney Parkway,518-164-2356,New York,0,0
21,Nike,Norcliff,08868 Vermont Road,313-583-6155,Michigan,0,0
22,Myrta,Kauble,7866 Dakota Avenue,508-364-2927,Massachusetts,0,0
23,Rani,Laurenz,2 Acker Plaza,610-108-6923,Pennsylvania,0,0
24,Kinna,De Moreno,58 Buena Vista Alley,202-892-4617,District of Columbia,0,0
25,Luca,Darbishire,076 Coolidge Court,806-688-3263,Texas,0,0
26,Dev,Thunderchief,54374 5th Park,501-179-8548,Arkansas,0,0
27,Keven,Coutts,287 Manitowish Circle,325-802-7017,Texas,0,0
28,Frank,Masselin,1 Arkansas Center,330-815-9657,Ohio,0,0
29,Gerry,Balcombe,0 Crescent Oaks Road,843-124-4453,South Carolina,0,0
30,Olympe,Courvert,899 Forest Alley,269-792-8042,Michigan,0,0
31,Nealon,Lincoln,938 Hayes Drive,941-394-6803,Florida,0,0
32,Esme,Cakebread,09 Nevada Plaza,360-350-0252,Washington,0,0
33,Nance,Allitt,1 Badeau Alley,239-672-0244,Florida,0,0
34,Celeste,Beamond,4821 Buhler Way,757-840-0900,Virginia,0,0
35,Gilberta,Foran,23190 Sullivan Park,303-965-6875,Colorado,0,0
36,Coralyn,Dilliway,0259 Harbort Trail,509-991-0045,Washington,0,0
37,Frasco,Hyder,5 Barnett Crossing,754-324-5609,Florida,0,0
38,Shurlocke,Langwade,9250 Vidon Place,941-218-3596,Florida,0,0
39,Joete,Bonder,3 Division Circle,850-131-2170,Florida,0,0
40,Israel,McGoldrick,09 Fulton Lane,318-774-7926,Louisiana,0,0
41,Courtenay,Nevinson,84 Clarendon Parkway,415-308-2211,California,0,0
42,Charissa,Wimlet,93 David Trail,360-401-7525,Washington,0,0
43,Natka,Bodocs,5 Parkside Drive,757-385-4221,Virginia,0,0
44,Celle,Kench,4 Manitowish Circle,858-157-6660,California,0,0
45,Morly,Dockrey,80 David Avenue,727-903-0809,Florida,0,0
46,Austina,Leebetter,073 Green Ridge Avenue,302-543-6571,Delaware,0,0
47,Arin,Choppin,1981 Goodland Alley,702-459-3069,Nevada,0,0
48,Carey,Steed,57 Surrey Drive,717-111-3106,Pennsylvania,0,0
49,Cleo,Pedron,782 Shoshone Alley,502-399-1255,Kentucky,0,0
50,Lucretia,Tomalin,88 Northview Road,256-248-9748,Alabama,0,0
51,Nerita,Ruskin,23 Badeau Point,704-730-4313,North Carolina,0,0
52,Manfred,Berge,059 Little Fleur Drive,509-937-9338,Washington,0,0
53,Trudy,Dunridge,523 Brown Pass,318-311-5403,Louisiana,0,0
54,Gardie,McGinlay,195 Amoth Point,904-355-0872,Florida,0,0
55,Millie,Matonin,49313 Rigney Road,512-428-9058,Texas,0,0
56,Dorene,Grestye,4806 Coolidge Place,913-629-1930,Kansas,0,0
57,Mallory,Slayford,5 Fair Oaks Place,757-172-8887,Virginia,0,0
58,Marlie,Bambery,6679 Vera Junction,212-121-5775,New York,0,0
59,Danika,Kikke,0884 Pond Circle,786-595-1014,Florida,0,0
60,Beckie,Krook,3175 Lerdahl Junction,650-460-1205,California,0,0
61,Cyrillus,Rought,884 Green Avenue,440-737-6740,Ohio,0,0
62,Sean,Burnsides,82 Jenna Pass,915-897-7431,Texas,0,0
63,Kean,Blything,87 3rd Point,508-177-2171,Massachusetts,0,0
64,Paddie,Spondley,3499 Division Way,415-661-5151,California,0,0
65,Garth,Pexton,048 Drewry Trail,484-206-2431,Pennsylvania,0,0
66,Amerigo,Piscotti,6 Brickson Park Lane,720-490-9360,Colorado,0,0
67,Gates,Aleksahkin,9946 Bonner Terrace,301-896-9671,Maryland,0,0
